id,request_time,request_url,method,referer_url,user_role,ip_address,host,device,operating_system,browser,browser_version,user_agent,origin,accept,accept_encoding,accept_language,content_type,connection_type,cache_control,status_code,is_cached
"28","2025-02-19 19:45:32","/wordpress/wp-login.php","GET","","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","","200","0"
"30","2025-02-19 19:52:20","/wordpress/","GET","http://localhost/wordpress/wp-admin/admin.php?page=traffic-monitor","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","","200","0"
"31","2025-02-19 19:56:55","/wordpress/","GET","http://localhost/wordpress/wp-admin/admin.php?page=traffic-monitor","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","max-age=0","200","0"
"32","2025-02-19 19:56:57","/wordpress/","GET","http://localhost/wordpress/wp-admin/admin.php?page=traffic-monitor","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","max-age=0","200","0"
"33","2025-02-19 19:56:59","/wordpress/","GET","http://localhost/wordpress/wp-admin/admin.php?page=traffic-monitor","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","max-age=0","200","0"
"34","2025-02-19 19:57:01","/wordpress/sample-page/","GET","http://localhost/wordpress/","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","","200","0"
"35","2025-02-19 19:57:03","/wordpress/","GET","http://localhost/wordpress/sample-page/","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","","200","0"
"36","2025-02-19 19:57:05","/wordpress/sample-page/","GET","http://localhost/wordpress/","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","","200","0"
"37","2025-02-19 19:57:07","/wordpress/","GET","http://localhost/wordpress/sample-page/","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","","200","0"
"38","2025-02-19 19:57:08","/wordpress/sample-page/","GET","http://localhost/wordpress/","administrator","::1","localhost","Desktop","Windows","Chrome","133.0.0.0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36","","text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","gzip, deflate, br, zstd","en-US,en;q=0.9","","keep-alive","","200","0"
